zip,county,fair_penetration,residential_tiv,median_hh_income,income_decile,fair_risk_score,pif,avg_annual_premium,nonrenew_rate,pif_per_owner_unit,exposure_millions
93222,06029,0.4283236994219653,646943545.0,55819.0,2,3.0,970,2652.0,0.0643,28.5155,646.943545
93223,06107,0.0023540489642184556,10034161.0,57498.354337912184,2,1.0,19,517.0,0.0775,0.0117,10.034161
93224,06029,0.017094017094017096,889129.0,73732.71417309852,4,1.5,2,1044.0,0.1544,0.0238,0.889129
93225,06029,0.21578947368421053,503480502.0,50602.383037398926,1,2.852513966480447,882,2930.0,0.1024,0.3931,503.480502
93226,06029,0.30864197530864196,20586132.0,50529.0,1,2.4375,30,4664.0,0.125,0.9845,20.586132
93230,06031,0.0009723175474719743,68105114.0,76418.83523981081,4,1.0,109,578.0,0.0876,0.0082,68.105114
93234,06019,0.003418803418803419,336450.0,54914.584634274695,2,1.0,1,302.0,0.0702,0.0032,0.33645
93235,06107,0.001201923076923077,2427174.0,55874.51932754185,2,1.7142857142857142,7,454.0,0.0725,0.0097,2.427174
93238,06029,0.14302325581395348,173851523.0,48281.28584893052,1,2.1776315789473686,277,2803.0,0.1216,0.7278,173.851523
93239,06031,0.007246376811594203,2020544.0,49568.00000000001,1,1.25,4,474.0,0.1104,0.0637,2.020544
93240,06029,0.11875589066918002,349510757.0,32974.901791825185,1,2.473821989528796,734,2079.0,0.1531,0.3772,349.510757
